Name,Developer,Version,Loader,Enabled,FileName,Path
Clavis,Shatterbyte,0.2.13,NeoForge,true,Clavis-NEOFORGE-0.2.13+1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\Clavis-NEOFORGE-0.2.13+1.21.1.jar
Clayworks,Team Abnormals,4.0.3,NeoForge,true,clayworks-1.21.1-4.0.3.jar,C:\Users\Lucky56\github\modpacks\mods\clayworks-1.21.1-4.0.3.jar
Clickable Advancements mod,Someaddon,3.8,NeoForge,true,clickadv-1.21-3.8.jar,C:\Users\Lucky56\github\modpacks\mods\clickadv-1.21-3.8.jar
clientcrafting mod,Someaddon,2.1,NeoForge,true,clientcrafting-1.21-2.1.jar,C:\Users\Lucky56\github\modpacks\mods\clientcrafting-1.21-2.1.jar
Climbable Ropes for Create Aeronautics,saunhardy,2.1.0,NeoForge,true,climbable_ropes-2.1.0.jar,C:\Users\Lucky56\github\modpacks\mods\climbable_ropes-2.1.0.jar
Cloth Config v15 API,shedaniel,15.0.140,NeoForge,true,cloth-config-15.0.140-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\cloth-config-15.0.140-neoforge.jar
Clumps,Jared,19.0.0.1,NeoForge,true,Clumps-neoforge-1.21.1-19.0.0.1.jar,C:\Users\Lucky56\github\modpacks\mods\Clumps-neoforge-1.21.1-19.0.0.1.jar
Create More: Package Couriers,Krei,2.3.0,NeoForge,true,cmpackagecouriers-neoforge-2.3.0.jar,C:\Users\Lucky56\github\modpacks\mods\cmpackagecouriers-neoforge-2.3.0.jar
Create More: Parallel Pipes,Krei,2.0.2,NeoForge,true,cmparallelpipes-neoforge-2.0.2.jar,C:\Users\Lucky56\github\modpacks\mods\cmparallelpipes-neoforge-2.0.2.jar
Cobweb,"Crystal Spider, Moonstone Webber, Noir",1.4.0,NeoForge,true,cobweb-neoforge-1.21-1.4.0.jar,C:\Users\Lucky56\github\modpacks\mods\cobweb-neoforge-1.21-1.4.0.jar
Collective,Rick South,8.39,"NeoForge, Forge, Fabric",true,collective-1.21.1-8.39.jar,C:\Users\Lucky56\github\modpacks\mods\collective-1.21.1-8.39.jar
Colorwheel,djefrey,1.2.9+mc1.21.1,NeoForge,true,colorwheel-neoforge-1.2.9+mc1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\colorwheel-neoforge-1.2.9+mc1.21.1.jar
Completionist's Index,Fuzs,21.1.0,NeoForge,true,CompletionistsIndex-v21.1.0-1.21.1-NeoForge.jar,C:\Users\Lucky56\github\modpacks\mods\CompletionistsIndex-v21.1.0-1.21.1-NeoForge.jar
Configurable,Bawnorton,3.5.1,NeoForge,true,configurable-3.5.1+1.21.1-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\configurable-3.5.1+1.21.1-neoforge.jar
